"","userId","group","itemNo","responseNo","checked"
"89","QNTD","P",6,5,1
"90","QNTD","P",6,6,0
"91","QNTD","P",7,1,0
"92","QNTD","P",7,2,0
"93","QNTD","P",7,3,0
"94","QNTD","P",7,4,0
"95","QNTD","P",7,5,0
"96","QNTD","P",7,6,1
"97","QNTD","P",8,1,0
"98","QNTD","P",8,2,0
"99","QNTD","P",8,3,0
"100","QNTD","P",8,4,0
"101","QNTD","P",8,5,1
"102","QNTD","P",8,6,0
"103","QNTD","P",9,1,0
"104","QNTD","P",9,2,0
"105","QNTD","P",9,3,0
"106","QNTD","P",9,4,0
"107","QNTD","P",9,5,0
"108","QNTD","P",9,6,1
"109","RSLS","C",1,1,1
"110","RSLS","C",1,2,0
"111","RSLS","C",1,3,1
"112","RSLS","C",1,4,0
"113","RSLS","C",1,5,1
"114","RSLS","C",1,6,0
"115","RSLS","C",2,1,0
"116","RSLS","C",2,2,1
"117","RSLS","C",2,3,0
"118","RSLS","C",2,4,1
"119","RSLS","C",2,5,0
"120","RSLS","C",2,6,0
"121","RSLS","C",3,1,0
"122","RSLS","C",3,2,0
"123","RSLS","C",3,3,0
"124","RSLS","C",3,4,1
"125","RSLS","C",3,5,0
"126","RSLS","C",3,6,0
"127","RSLS","C",4,1,0
"128","RSLS","C",4,2,0
"129","RSLS","C",4,3,1
"130","RSLS","C",4,4,0
"131","RSLS","C",4,5,0
"132","RSLS","C",4,6,0
"133","RSLS","C",5,1,0
"134","RSLS","C",5,2,0
"135","RSLS","C",5,3,0
"136","RSLS","C",5,4,0
"137","RSLS","C",5,5,0
"138","RSLS","C",5,6,1
"139","RSLS","C",6,1,0
"140","RSLS","C",6,2,0
"141","RSLS","C",6,3,0
"142","RSLS","C",6,4,0
"143","RSLS","C",6,5,0
"144","RSLS","C",6,6,1
"145","RSLS","C",7,1,1
"146","RSLS","C",7,2,0
"147","RSLS","C",7,3,0
"148","RSLS","C",7,4,0
"149","RSLS","C",7,5,0
"150","RSLS","C",7,6,0
"151","RSLS","C",8,1,0
"152","RSLS","C",8,2,0
"153","RSLS","C",8,3,0
"154","RSLS","C",8,4,0
"155","RSLS","C",8,5,0
"156","RSLS","C",8,6,1
"157","RSLS","C",9,1,1
"158","RSLS","C",9,2,0
"159","RSLS","C",9,3,0
"160","RSLS","C",9,4,0
"161","RSLS","C",9,5,0
"162","RSLS","C",9,6,0
"163","YGMY","P",1,1,0
"164","YGMY","P",1,2,1
"165","YGMY","P",1,3,1
"166","YGMY","P",1,4,1
"167","YGMY","P",1,5,1
"168","YGMY","P",1,6,0
"169","YGMY","P",2,1,1
"170","YGMY","P",2,2,0
"171","YGMY","P",2,3,0
"172","YGMY","P",2,4,0
"173","YGMY","P",2,5,0
"174","YGMY","P",2,6,0
"175","YGMY","P",3,1,0
"176","YGMY","P",3,2,1
"177","YGMY","P",3,3,0
"178","YGMY","P",3,4,0
"179","YGMY","P",3,5,0
"180","YGMY","P",3,6,0
"181","YGMY","P",4,1,0
"182","YGMY","P",4,2,1
"183","YGMY","P",4,3,0
"184","YGMY","P",4,4,0
"185","YGMY","P",4,5,0
"186","YGMY","P",4,6,0
"187","YGMY","P",5,1,0
"188","YGMY","P",5,2,0
"189","YGMY","P",5,3,0
"190","YGMY","P",5,4,1
"191","YGMY","P",5,5,0
"192","YGMY","P",5,6,0
"193","YGMY","P",6,1,0
"194","YGMY","P",6,2,0
"195","YGMY","P",6,3,1
"196","YGMY","P",6,4,0
"197","YGMY","P",6,5,0
"198","YGMY","P",6,6,0
"199","YGMY","P",7,1,0
"200","YGMY","P",7,2,0
"201","YGMY","P",7,3,0
"202","YGMY","P",7,4,0
"203","YGMY","P",7,5,0
"204","YGMY","P",7,6,1
"205","YGMY","P",8,1,0
"206","YGMY","P",8,2,0
"207","YGMY","P",8,3,0
"208","YGMY","P",8,4,0
"209","YGMY","P",8,5,0
"210","YGMY","P",8,6,1
"211","YGMY","P",9,1,0
"212","YGMY","P",9,2,0
"213","YGMY","P",9,3,1
"214","YGMY","P",9,4,0
"215","YGMY","P",9,5,0
"216","YGMY","P",9,6,0
"217","ZDMO","C",1,1,1
"218","ZDMO","C",1,2,0
"219","ZDMO","C",1,3,0
"220","ZDMO","C",1,4,0
"221","ZDMO","C",1,5,1
"222","ZDMO","C",1,6,0
"223","ZDMO","C",2,1,0
"224","ZDMO","C",2,2,1
"225","ZDMO","C",2,3,1
"226","ZDMO","C",2,4,1
"227","ZDMO","C",2,5,0
"228","ZDMO","C",2,6,0
"229","ZDMO","C",3,1,0
"230","ZDMO","C",3,2,0
"231","ZDMO","C",3,3,0
"232","ZDMO","C",3,4,0
"233","ZDMO","C",3,5,0
"234","ZDMO","C",3,6,1
"235","ZDMO","C",4,1,0
"236","ZDMO","C",4,2,0
"237","ZDMO","C",4,3,0
"238","ZDMO","C",4,4,1
"239","ZDMO","C",4,5,0
"240","ZDMO","C",4,6,0
"241","ZDMO","C",5,1,0
"242","ZDMO","C",5,2,0
"243","ZDMO","C",5,3,0
"244","ZDMO","C",5,4,0
"245","ZDMO","C",5,5,0
"246","ZDMO","C",5,6,1
"247","ZDMO","C",6,1,0
"248","ZDMO","C",6,2,0
"249","ZDMO","C",6,3,0
"250","ZDMO","C",6,4,1
"251","ZDMO","C",6,5,0
"252","ZDMO","C",6,6,0
"253","ZDMO","C",7,1,0
"254","ZDMO","C",7,2,1
"255","ZDMO","C",7,3,0
"256","ZDMO","C",7,4,0
"257","ZDMO","C",7,5,0
"258","ZDMO","C",7,6,0
"259","ZDMO","C",8,1,0
"260","ZDMO","C",8,2,1
"261","ZDMO","C",8,3,0
"262","ZDMO","C",8,4,0
"263","ZDMO","C",8,5,0
"264","ZDMO","C",8,6,0
"265","ZDMO","C",9,1,0
"266","ZDMO","C",9,2,0
"267","ZDMO","C",9,3,0
"268","ZDMO","C",9,4,1
"269","ZDMO","C",9,5,0
"270","ZDMO","C",9,6,0
"271","XDZY","P",1,1,1
"272","XDZY","P",1,2,0
"273","XDZY","P",1,3,1
"274","XDZY","P",1,4,0
"275","XDZY","P",1,5,0
"276","XDZY","P",1,6,0
"277","XDZY","P",2,1,0
"278","XDZY","P",2,2,1
"279","XDZY","P",2,3,0
"280","XDZY","P",2,4,1
"281","XDZY","P",2,5,1
"282","XDZY","P",2,6,0
"283","XDZY","P",3,1,1
"284","XDZY","P",3,2,0
"285","XDZY","P",3,3,0
"286","XDZY","P",3,4,0
"287","XDZY","P",3,5,0
"288","XDZY","P",3,6,0
"289","XDZY","P",4,1,1
"290","XDZY","P",4,2,0
"291","XDZY","P",4,3,0
"292","XDZY","P",4,4,0
"293","XDZY","P",4,5,0
"294","XDZY","P",4,6,0
"295","XDZY","P",5,1,0
"296","XDZY","P",5,2,0
"297","XDZY","P",5,3,1
"298","XDZY","P",5,4,0
"299","XDZY","P",5,5,0
"300","XDZY","P",5,6,0
"301","XDZY","P",6,1,1
"302","XDZY","P",6,2,0
"303","XDZY","P",6,3,0
"304","XDZY","P",6,4,0
"305","XDZY","P",6,5,0
"306","XDZY","P",6,6,0
"307","XDZY","P",7,1,0
"308","XDZY","P",7,2,0
"309","XDZY","P",7,3,0
"310","XDZY","P",7,4,0
"311","XDZY","P",7,5,1
"312","XDZY","P",7,6,0
"313","XDZY","P",8,1,0
"314","XDZY","P",8,2,0
"315","XDZY","P",8,3,0
"316","XDZY","P",8,4,0
"317","XDZY","P",8,5,0
"318","XDZY","P",8,6,1
"319","XDZY","P",9,1,0
"320","XDZY","P",9,2,1
"321","XDZY","P",9,3,0
"322","XDZY","P",9,4,0
"323","XDZY","P",9,5,0
"324","XDZY","P",9,6,0
"325","CNKX","C",1,1,1
"326","CNKX","C",1,2,0
"327","CNKX","C",1,3,0
"328","CNKX","C",1,4,0
"329","CNKX","C",1,5,0
"330","CNKX","C",1,6,0
"331","CNKX","C",2,1,0
"332","CNKX","C",2,2,1
"333","CNKX","C",2,3,1
"334","CNKX","C",2,4,1
"335","CNKX","C",2,5,1
"336","CNKX","C",2,6,0
"337","CNKX","C",3,1,0
"338","CNKX","C",3,2,0
"339","CNKX","C",3,3,0
"340","CNKX","C",3,4,1
"341","CNKX","C",3,5,0
"342","CNKX","C",3,6,0
"343","CNKX","C",4,1,0
"344","CNKX","C",4,2,0
"345","CNKX","C",4,3,0
"346","CNKX","C",4,4,1
"347","CNKX","C",4,5,0
"348","CNKX","C",4,6,0
"349","CNKX","C",5,1,0
"350","CNKX","C",5,2,0
"351","CNKX","C",5,3,0
"352","CNKX","C",5,4,1
"353","CNKX","C",5,5,0
"354","CNKX","C",5,6,0
"355","CNKX","C",6,1,0
"356","CNKX","C",6,2,0
"357","CNKX","C",6,3,0
"358","CNKX","C",6,4,0
"359","CNKX","C",6,5,1
"360","CNKX","C",6,6,0
"361","CNKX","C",7,1,0
"362","CNKX","C",7,2,0
"363","CNKX","C",7,3,1
"364","CNKX","C",7,4,0
"365","CNKX","C",7,5,0
"366","CNKX","C",7,6,0
"367","CNKX","C",8,1,0
"368","CNKX","C",8,2,0
"369","CNKX","C",8,3,0
"370","CNKX","C",8,4,1
"371","CNKX","C",8,5,0
"372","CNKX","C",8,6,0
"373","CNKX","C",9,1,0
"374","CNKX","C",9,2,0
"375","CNKX","C",9,3,0
"376","CNKX","C",9,4,0
"377","CNKX","C",9,5,1
"378","CNKX","C",9,6,0
"379","LVTV","P",1,1,1
"380","LVTV","P",1,2,1
"381","LVTV","P",1,3,0
"382","LVTV","P",1,4,1
"383","LVTV","P",1,5,1
"384","LVTV","P",1,6,0
"385","LVTV","P",2,1,0
"386","LVTV","P",2,2,0
"387","LVTV","P",2,3,1
"388","LVTV","P",2,4,0
"389","LVTV","P",2,5,0
"390","LVTV","P",2,6,0
"391","LVTV","P",3,1,0
"392","LVTV","P",3,2,0
"393","LVTV","P",3,3,0
"394","LVTV","P",3,4,0
"395","LVTV","P",3,5,1
"396","LVTV","P",3,6,0
"397","LVTV","P",4,1,0
"398","LVTV","P",4,2,1
"399","LVTV","P",4,3,0
"400","LVTV","P",4,4,0
"401","LVTV","P",4,5,0
"402","LVTV","P",4,6,0
"403","LVTV","P",5,1,0
"404","LVTV","P",5,2,0
"405","LVTV","P",5,3,1
"406","LVTV","P",5,4,0
"407","LVTV","P",5,5,0
"408","LVTV","P",5,6,0
"409","LVTV","P",6,1,0
"410","LVTV","P",6,2,0
"411","LVTV","P",6,3,0
"412","LVTV","P",6,4,0
"413","LVTV","P",6,5,0
"414","LVTV","P",6,6,1
"415","LVTV","P",7,1,0
"416","LVTV","P",7,2,0
"417","LVTV","P",7,3,0
"418","LVTV","P",7,4,0
"419","LVTV","P",7,5,0
"420","LVTV","P",7,6,1
"421","LVTV","P",8,1,0
"422","LVTV","P",8,2,0
"423","LVTV","P",8,3,1
"424","LVTV","P",8,4,0
"425","LVTV","P",8,5,0
"426","LVTV","P",8,6,0
"427","LVTV","P",9,1,1
"428","LVTV","P",9,2,0
"429","LVTV","P",9,3,0
"430","LVTV","P",9,4,0
"431","LVTV","P",9,5,0
"432","LVTV","P",9,6,0
"433","KRAV","C",1,1,1
"434","KRAV","C",1,2,0
"435","KRAV","C",1,3,1
"436","KRAV","C",1,4,0
"437","KRAV","C",1,5,0
"438","KRAV","C",1,6,0
"439","KRAV","C",2,1,0
"440","KRAV","C",2,2,1
"441","KRAV","C",2,3,0
"442","KRAV","C",2,4,1
"443","KRAV","C",2,5,1
"444","KRAV","C",2,6,0
"445","KRAV","C",3,1,0
"446","KRAV","C",3,2,0
"447","KRAV","C",3,3,0
"448","KRAV","C",3,4,0
"449","KRAV","C",3,5,1
"450","KRAV","C",3,6,0
"451","KRAV","C",4,1,0
"452","KRAV","C",4,2,0
"453","KRAV","C",4,3,1
"454","KRAV","C",4,4,0
"455","KRAV","C",4,5,0
"456","KRAV","C",4,6,0
"457","KRAV","C",5,1,0
"458","KRAV","C",5,2,0
"459","KRAV","C",5,3,1
"460","KRAV","C",5,4,0
"461","KRAV","C",5,5,0
"462","KRAV","C",5,6,0
"463","KRAV","C",6,1,0
"464","KRAV","C",6,2,1
"465","KRAV","C",6,3,0
"466","KRAV","C",6,4,0
"467","KRAV","C",6,5,0
"468","KRAV","C",6,6,0
"469","KRAV","C",7,1,0
"470","KRAV","C",7,2,0
"471","KRAV","C",7,3,1
"472","KRAV","C",7,4,0
"473","KRAV","C",7,5,0
"474","KRAV","C",7,6,0
"475","KRAV","C",8,1,0
"476","KRAV","C",8,2,0
"477","KRAV","C",8,3,0
"478","KRAV","C",8,4,0
"479","KRAV","C",8,5,0
"480","KRAV","C",8,6,1
"481","KRAV","C",9,1,0
"482","KRAV","C",9,2,0
"483","KRAV","C",9,3,0
"484","KRAV","C",9,4,1
"485","KRAV","C",9,5,0
"486","KRAV","C",9,6,0
"487","AFXP","P",1,1,0
"488","AFXP","P",1,2,1
"489","AFXP","P",1,3,0
"490","AFXP","P",1,4,0
"491","AFXP","P",1,5,0
"492","AFXP","P",1,6,0
"493","AFXP","P",2,1,1
"494","AFXP","P",2,2,0
"495","AFXP","P",2,3,1
"496","AFXP","P",2,4,1
"497","AFXP","P",2,5,1
"498","AFXP","P",2,6,0
"499","AFXP","P",3,1,0
"500","AFXP","P",3,2,0
"501","AFXP","P",3,3,0
"502","AFXP","P",3,4,1
"503","AFXP","P",3,5,0
"504","AFXP","P",3,6,0
"505","AFXP","P",4,1,1
"506","AFXP","P",4,2,0
"507","AFXP","P",4,3,0
"508","AFXP","P",4,4,0
"509","AFXP","P",4,5,0
"510","AFXP","P",4,6,0
"511","AFXP","P",5,1,1
"512","AFXP","P",5,2,0
"513","AFXP","P",5,3,0
"514","AFXP","P",5,4,0
"515","AFXP","P",5,5,0
"516","AFXP","P",5,6,0
"517","AFXP","P",6,1,0
"518","AFXP","P",6,2,0
"519","AFXP","P",6,3,1
"520","AFXP","P",6,4,0
"521","AFXP","P",6,5,0
"522","AFXP","P",6,6,0
"523","AFXP","P",7,1,0
"524","AFXP","P",7,2,0
"525","AFXP","P",7,3,0
"526","AFXP","P",7,4,0
"527","AFXP","P",7,5,0
"528","AFXP","P",7,6,1
"529","AFXP","P",8,1,0
"530","AFXP","P",8,2,0
"531","AFXP","P",8,3,0
"532","AFXP","P",8,4,0
"533","AFXP","P",8,5,0
"534","AFXP","P",8,6,1
"535","AFXP","P",9,1,0
"536","AFXP","P",9,2,0
"537","AFXP","P",9,3,0
"538","AFXP","P",9,4,0
"539","AFXP","P",9,5,0
"540","AFXP","P",9,6,1
"541","JLAZ","C",1,1,1
"542","JLAZ","C",1,2,0
"543","JLAZ","C",1,3,1
"544","JLAZ","C",1,4,1
"545","JLAZ","C",1,5,1
"546","JLAZ","C",1,6,0
"547","JLAZ","C",2,1,0
"548","JLAZ","C",2,2,1
"549","JLAZ","C",2,3,0
"550","JLAZ","C",2,4,0
"551","JLAZ","C",2,5,0
"552","JLAZ","C",2,6,0
"553","JLAZ","C",3,1,0
"554","JLAZ","C",3,2,0
"555","JLAZ","C",3,3,0
"556","JLAZ","C",3,4,0
"557","JLAZ","C",3,5,1
"558","JLAZ","C",3,6,0
"559","JLAZ","C",4,1,1
"560","JLAZ","C",4,2,0
"561","JLAZ","C",4,3,0
"562","JLAZ","C",4,4,0
"563","JLAZ","C",4,5,0
"564","JLAZ","C",4,6,0
"565","JLAZ","C",5,1,0
"566","JLAZ","C",5,2,0
"567","JLAZ","C",5,3,0
"568","JLAZ","C",5,4,0
"569","JLAZ","C",5,5,0
"570","JLAZ","C",5,6,1
"571","JLAZ","C",6,1,0
"572","JLAZ","C",6,2,0
"573","JLAZ","C",6,3,1
"574","JLAZ","C",6,4,0
"575","JLAZ","C",6,5,0
"576","JLAZ","C",6,6,0
"577","JLAZ","C",7,1,1
"578","JLAZ","C",7,2,0
"579","JLAZ","C",7,3,0
"580","JLAZ","C",7,4,0
"581","JLAZ","C",7,5,0
"582","JLAZ","C",7,6,0
"583","JLAZ","C",8,1,1
"584","JLAZ","C",8,2,0
"585","JLAZ","C",8,3,0
"586","JLAZ","C",8,4,0
"587","JLAZ","C",8,5,0
"588","JLAZ","C",8,6,0
"589","JLAZ","C",9,1,0
"590","JLAZ","C",9,2,1
"591","JLAZ","C",9,3,0
"592","JLAZ","C",9,4,0
"593","JLAZ","C",9,5,0
"594","JLAZ","C",9,6,0
"595","LYXQ","P",1,1,1
"596","LYXQ","P",1,2,1
"597","LYXQ","P",1,3,1
"598","LYXQ","P",1,4,0
"599","LYXQ","P",1,5,1
"600","LYXQ","P",1,6,0
"601","LYXQ","P",2,1,0
"602","LYXQ","P",2,2,0
"603","LYXQ","P",2,3,0
"604","LYXQ","P",2,4,1
"605","LYXQ","P",2,5,0
"606","LYXQ","P",2,6,0
"607","LYXQ","P",3,1,0
"608","LYXQ","P",3,2,0
"609","LYXQ","P",3,3,0
"610","LYXQ","P",3,4,1
"611","LYXQ","P",3,5,0
"612","LYXQ","P",3,6,0
"613","LYXQ","P",4,1,0
"614","LYXQ","P",4,2,0
"615","LYXQ","P",4,3,0
"616","LYXQ","P",4,4,0
"617","LYXQ","P",4,5,0
"618","LYXQ","P",4,6,1
"619","LYXQ","P",5,1,0
"620","LYXQ","P",5,2,1
"621","LYXQ","P",5,3,0
"622","LYXQ","P",5,4,0
"623","LYXQ","P",5,5,0
"624","LYXQ","P",5,6,0
"625","LYXQ","P",6,1,1
"626","LYXQ","P",6,2,0
"627","LYXQ","P",6,3,0
"628","LYXQ","P",6,4,0
"629","LYXQ","P",6,5,0
"630","LYXQ","P",6,6,0
"631","LYXQ","P",7,1,0
"632","LYXQ","P",7,2,0
"633","LYXQ","P",7,3,0
"634","LYXQ","P",7,4,0
"635","LYXQ","P",7,5,0
"636","LYXQ","P",7,6,1
"637","LYXQ","P",8,1,0
"638","LYXQ","P",8,2,0
"639","LYXQ","P",8,3,0
"640","LYXQ","P",8,4,1
"641","LYXQ","P",8,5,0
"642","LYXQ","P",8,6,0
"643","LYXQ","P",9,1,0
"644","LYXQ","P",9,2,0
"645","LYXQ","P",9,3,1
"646","LYXQ","P",9,4,0
"647","LYXQ","P",9,5,0
"648","LYXQ","P",9,6,0
"649","ZQIJ","C",1,1,0
"650","ZQIJ","C",1,2,1
"651","ZQIJ","C",1,3,0
"652","ZQIJ","C",1,4,0
"653","ZQIJ","C",1,5,0
"654","ZQIJ","C",1,6,0
"655","ZQIJ","C",2,1,1
"656","ZQIJ","C",2,2,0
"657","ZQIJ","C",2,3,1
"658","ZQIJ","C",2,4,1
"659","ZQIJ","C",2,5,1
"660","ZQIJ","C",2,6,0
"661","ZQIJ","C",3,1,0
"662","ZQIJ","C",3,2,0
"663","ZQIJ","C",3,3,0
"664","ZQIJ","C",3,4,0
"665","ZQIJ","C",3,5,1
"666","ZQIJ","C",3,6,0
"667","ZQIJ","C",4,1,1
"668","ZQIJ","C",4,2,0
"669","ZQIJ","C",4,3,0
"670","ZQIJ","C",4,4,0
"671","ZQIJ","C",4,5,0
"672","ZQIJ","C",4,6,0
"673","ZQIJ","C",5,1,0
"674","ZQIJ","C",5,2,0
"675","ZQIJ","C",5,3,0
"676","ZQIJ","C",5,4,0
"677","ZQIJ","C",5,5,1
"678","ZQIJ","C",5,6,0
"679","ZQIJ","C",6,1,0
"680","ZQIJ","C",6,2,1
"681","ZQIJ","C",6,3,0
"682","ZQIJ","C",6,4,0
"683","ZQIJ","C",6,5,0
"684","ZQIJ","C",6,6,0
"685","ZQIJ","C",7,1,0
"686","ZQIJ","C",7,2,0
"687","ZQIJ","C",7,3,1
"688","ZQIJ","C",7,4,0
"689","ZQIJ","C",7,5,0
"690","ZQIJ","C",7,6,0
"691","ZQIJ","C",8,1,0
"692","ZQIJ","C",8,2,0
"693","ZQIJ","C",8,3,1
"694","ZQIJ","C",8,4,0
"695","ZQIJ","C",8,5,0
"696","ZQIJ","C",8,6,0
"697","ZQIJ","C",9,1,1
"698","ZQIJ","C",9,2,0
"699","ZQIJ","C",9,3,0
"700","ZQIJ","C",9,4,0
"701","ZQIJ","C",9,5,0
"702","ZQIJ","C",9,6,0
"703","KUBT","P",1,1,0
"704","KUBT","P",1,2,1
"705","KUBT","P",1,3,0
"706","KUBT","P",1,4,0
"707","KUBT","P",1,5,0
"708","KUBT","P",1,6,0
"709","KUBT","P",2,1,1
"710","KUBT","P",2,2,0
"711","KUBT","P",2,3,1
"712","KUBT","P",2,4,1
"713","KUBT","P",2,5,1
"714","KUBT","P",2,6,0
"715","KUBT","P",3,1,0
"716","KUBT","P",3,2,1
"717","KUBT","P",3,3,0
"718","KUBT","P",3,4,0
"719","KUBT","P",3,5,0
"720","KUBT","P",3,6,0
"721","KUBT","P",4,1,0
"722","KUBT","P",4,2,0
"723","KUBT","P",4,3,0
"724","KUBT","P",4,4,0
"725","KUBT","P",4,5,1
"726","KUBT","P",4,6,0
"727","KUBT","P",5,1,0
"728","KUBT","P",5,2,0
"729","KUBT","P",5,3,0
"730","KUBT","P",5,4,1
"731","KUBT","P",5,5,0
"732","KUBT","P",5,6,0
"733","KUBT","P",6,1,0
"734","KUBT","P",6,2,0
"735","KUBT","P",6,3,1
"736","KUBT","P",6,4,0
"737","KUBT","P",6,5,0
"738","KUBT","P",6,6,0
"739","KUBT","P",7,1,0
"740","KUBT","P",7,2,0
"741","KUBT","P",7,3,0
"742","KUBT","P",7,4,1
"743","KUBT","P",7,5,0
"744","KUBT","P",7,6,0
"745","KUBT","P",8,1,0
"746","KUBT","P",8,2,0
"747","KUBT","P",8,3,0
"748","KUBT","P",8,4,0
"749","KUBT","P",8,5,1
"750","KUBT","P",8,6,0
"751","KUBT","P",9,1,0
"752","KUBT","P",9,2,1
"753","KUBT","P",9,3,0
"754","KUBT","P",9,4,0
"755","KUBT","P",9,5,0
"756","KUBT","P",9,6,0
"757","REGN","C",1,1,0
"758","REGN","C",1,2,0
"759","REGN","C",1,3,1
"760","REGN","C",1,4,0
"761","REGN","C",1,5,0
"762","REGN","C",1,6,0
"763","REGN","C",2,1,1
"764","REGN","C",2,2,1
"765","REGN","C",2,3,0
"766","REGN","C",2,4,1
"767","REGN","C",2,5,1
"768","REGN","C",2,6,0
"769","REGN","C",3,1,0
"770","REGN","C",3,2,1
"771","REGN","C",3,3,0
"772","REGN","C",3,4,0
"773","REGN","C",3,5,0
"774","REGN","C",3,6,0
"775","REGN","C",4,1,0
"776","REGN","C",4,2,0
"777","REGN","C",4,3,0
"778","REGN","C",4,4,0
"779","REGN","C",4,5,1
"780","REGN","C",4,6,0
"781","REGN","C",5,1,0
"782","REGN","C",5,2,0
"783","REGN","C",5,3,0
"784","REGN","C",5,4,0
"785","REGN","C",5,5,1
"786","REGN","C",5,6,0
"787","REGN","C",6,1,0
"788","REGN","C",6,2,0
"789","REGN","C",6,3,0
"790","REGN","C",6,4,0
"791","REGN","C",6,5,0
"792","REGN","C",6,6,1
"793","REGN","C",7,1,0
"794","REGN","C",7,2,0
"795","REGN","C",7,3,0
"796","REGN","C",7,4,1
"797","REGN","C",7,5,0
"798","REGN","C",7,6,0
"799","REGN","C",8,1,1
"800","REGN","C",8,2,0
"801","REGN","C",8,3,0
"802","REGN","C",8,4,0
"803","REGN","C",8,5,0
"804","REGN","C",8,6,0
"805","REGN","C",9,1,0
"806","REGN","C",9,2,1
"807","REGN","C",9,3,0
"808","REGN","C",9,4,0
"809","REGN","C",9,5,0
"810","REGN","C",9,6,0
"811","RZTO","P",1,1,0
"812","RZTO","P",1,2,0
"813","RZTO","P",1,3,0
"814","RZTO","P",1,4,0
"815","RZTO","P",1,5,0
"816","RZTO","P",1,6,1
"817","RZTO","P",2,1,1
"818","RZTO","P",2,2,1
"819","RZTO","P",2,3,1
"820","RZTO","P",2,4,1
"821","RZTO","P",2,5,1
"822","RZTO","P",2,6,0
"823","RZTO","P",3,1,0
"824","RZTO","P",3,2,0
"825","RZTO","P",3,3,1
"826","RZTO","P",3,4,0
"827","RZTO","P",3,5,0
"828","RZTO","P",3,6,0
"829","RZTO","P",4,1,0
"830","RZTO","P",4,2,1
"831","RZTO","P",4,3,0
"832","RZTO","P",4,4,0
"833","RZTO","P",4,5,0
"834","RZTO","P",4,6,0
"835","RZTO","P",5,1,0
"836","RZTO","P",5,2,0
"837","RZTO","P",5,3,0
"838","RZTO","P",5,4,1
"839","RZTO","P",5,5,0
"840","RZTO","P",5,6,0
"841","RZTO","P",6,1,0
"842","RZTO","P",6,2,0
"843","RZTO","P",6,3,0
"844","RZTO","P",6,4,1
"845","RZTO","P",6,5,0
"846","RZTO","P",6,6,0
"847","RZTO","P",7,1,0
"848","RZTO","P",7,2,0
"849","RZTO","P",7,3,0
"850","RZTO","P",7,4,0
"851","RZTO","P",7,5,0
"852","RZTO","P",7,6,1
"853","RZTO","P",8,1,0
"854","RZTO","P",8,2,0
"855","RZTO","P",8,3,0
"856","RZTO","P",8,4,1
"857","RZTO","P",8,5,0
"858","RZTO","P",8,6,0
