"","userId","group","item","responseNo","checked"
"149","JLAZ","C","gender",2,0
"150","JLAZ","C","gender",3,0
"151","JLAZ","C","gender",4,1
"152","JLAZ","C","gender",5,0
"153","JLAZ","C","gender",6,0
"154","JLAZ","C","gender",7,0
"155","LYXQ","P","age",1,0
"156","LYXQ","P","age",2,0
"157","LYXQ","P","age",3,0
"158","LYXQ","P","age",4,1
"159","LYXQ","P","age",5,0
"160","LYXQ","P","age",6,0
"161","LYXQ","P","age",7,0
"162","LYXQ","P","gender",1,0
"163","LYXQ","P","gender",2,0
"164","LYXQ","P","gender",3,0
"165","LYXQ","P","gender",4,0
"166","LYXQ","P","gender",5,0
"167","LYXQ","P","gender",6,0
"168","LYXQ","P","gender",7,1
"169","ZQIJ","C","age",1,0
"170","ZQIJ","C","age",2,0
"171","ZQIJ","C","age",3,1
"172","ZQIJ","C","age",4,0
"173","ZQIJ","C","age",5,0
"174","ZQIJ","C","age",6,0
"175","ZQIJ","C","age",7,0
"176","ZQIJ","C","gender",1,0
"177","ZQIJ","C","gender",2,0
"178","ZQIJ","C","gender",3,0
"179","ZQIJ","C","gender",4,0
"180","ZQIJ","C","gender",5,1
"181","ZQIJ","C","gender",6,0
"182","ZQIJ","C","gender",7,0
"183","KUBT","P","age",1,1
"184","KUBT","P","age",2,0
"185","KUBT","P","age",3,0
"186","KUBT","P","age",4,0
"187","KUBT","P","age",5,0
"188","KUBT","P","age",6,0
"189","KUBT","P","age",7,0
"190","KUBT","P","gender",1,0
"191","KUBT","P","gender",2,1
"192","KUBT","P","gender",3,0
"193","KUBT","P","gender",4,0
"194","KUBT","P","gender",5,0
"195","KUBT","P","gender",6,0
"196","KUBT","P","gender",7,0
"197","REGN","C","age",1,0
"198","REGN","C","age",2,1
"199","REGN","C","age",3,0
"200","REGN","C","age",4,0
"201","REGN","C","age",5,0
"202","REGN","C","age",6,0
"203","REGN","C","age",7,0
"204","REGN","C","gender",1,1
"205","REGN","C","gender",2,0
"206","REGN","C","gender",3,0
"207","REGN","C","gender",4,0
"208","REGN","C","gender",5,0
"209","REGN","C","gender",6,0
"210","REGN","C","gender",7,0
"211","RZTO","P","age",1,1
"212","RZTO","P","age",2,0
"213","RZTO","P","age",3,0
"214","RZTO","P","age",4,0
"215","RZTO","P","age",5,0
"216","RZTO","P","age",6,0
"217","RZTO","P","age",7,0
"218","RZTO","P","gender",1,0
"219","RZTO","P","gender",2,0
"220","RZTO","P","gender",3,0
"221","RZTO","P","gender",4,0
"222","RZTO","P","gender",5,0
"223","RZTO","P","gender",6,0
"224","RZTO","P","gender",7,1
"225","WEHV","C","age",1,0
"226","WEHV","C","age",2,0
"227","WEHV","C","age",3,1
"228","WEHV","C","age",4,0
"229","WEHV","C","age",5,0
"230","WEHV","C","age",6,0
"231","WEHV","C","age",7,0
"232","WEHV","C","gender",1,1
"233","WEHV","C","gender",2,0
"234","WEHV","C","gender",3,0
"235","WEHV","C","gender",4,0
"236","WEHV","C","gender",5,0
"237","WEHV","C","gender",6,0
"238","WEHV","C","gender",7,0
"239","SGBD","P","age",1,0
"240","SGBD","P","age",2,0
"241","SGBD","P","age",3,1
"242","SGBD","P","age",4,0
"243","SGBD","P","age",5,0
"244","SGBD","P","age",6,0
"245","SGBD","P","age",7,0
"246","SGBD","P","gender",1,0
"247","SGBD","P","gender",2,0
"248","SGBD","P","gender",3,0
"249","SGBD","P","gender",4,0
"250","SGBD","P","gender",5,1
"251","SGBD","P","gender",6,0
"252","SGBD","P","gender",7,0
"253","FMFS","C","age",1,0
"254","FMFS","C","age",2,0
"255","FMFS","C","age",3,0
"256","FMFS","C","age",4,0
"257","FMFS","C","age",5,0
"258","FMFS","C","age",6,0
"259","FMFS","C","age",7,1
"260","FMFS","C","gender",1,0
"261","FMFS","C","gender",2,1
"262","FMFS","C","gender",3,0
"263","FMFS","C","gender",4,0
"264","FMFS","C","gender",5,0
"265","FMFS","C","gender",6,0
"266","FMFS","C","gender",7,0
"267","AJNA","P","age",1,0
"268","AJNA","P","age",2,0
"269","AJNA","P","age",3,0
"270","AJNA","P","age",4,0
"271","AJNA","P","age",5,1
"272","AJNA","P","age",6,0
"273","AJNA","P","age",7,0
"274","AJNA","P","gender",1,1
"275","AJNA","P","gender",2,0
"276","AJNA","P","gender",3,0
"277","AJNA","P","gender",4,0
"278","AJNA","P","gender",5,0
"279","AJNA","P","gender",6,0
"280","AJNA","P","gender",7,0
"281","PEJQ","C","age",1,0
"282","PEJQ","C","age",2,1
"283","PEJQ","C","age",3,0
"284","PEJQ","C","age",4,0
"285","PEJQ","C","age",5,0
"286","PEJQ","C","age",6,0
"287","PEJQ","C","age",7,0
"288","PEJQ","C","gender",1,0
"289","PEJQ","C","gender",2,0
"290","PEJQ","C","gender",3,0
"291","PEJQ","C","gender",4,0
"292","PEJQ","C","gender",5,0
"293","PEJQ","C","gender",6,0
"294","PEJQ","C","gender",7,1
"295","UOGC","P","age",1,0
"296","UOGC","P","age",2,0
"297","UOGC","P","age",3,0
"298","UOGC","P","age",4,0
"299","UOGC","P","age",5,0
"300","UOGC","P","age",6,1
"301","UOGC","P","age",7,0
"302","UOGC","P","gender",1,0
"303","UOGC","P","gender",2,0
"304","UOGC","P","gender",3,1
"305","UOGC","P","gender",4,0
"306","UOGC","P","gender",5,0
"307","UOGC","P","gender",6,0
"308","UOGC","P","gender",7,0
"309","CHRA","C","age",1,0
"310","CHRA","C","age",2,0
"311","CHRA","C","age",3,1
"312","CHRA","C","age",4,0
"313","CHRA","C","age",5,0
"314","CHRA","C","age",6,0
"315","CHRA","C","age",7,0
"316","CHRA","C","gender",1,0
"317","CHRA","C","gender",2,1
"318","CHRA","C","gender",3,0
"319","CHRA","C","gender",4,0
"320","CHRA","C","gender",5,0
"321","CHRA","C","gender",6,0
"322","CHRA","C","gender",7,0
"323","FYYT","P","age",1,0
"324","FYYT","P","age",2,0
"325","FYYT","P","age",3,0
"326","FYYT","P","age",4,0
"327","FYYT","P","age",5,0
"328","FYYT","P","age",6,0
"329","FYYT","P","age",7,1
"330","FYYT","P","gender",1,0
"331","FYYT","P","gender",2,0
"332","FYYT","P","gender",3,1
"333","FYYT","P","gender",4,0
"334","FYYT","P","gender",5,0
"335","FYYT","P","gender",6,0
"336","FYYT","P","gender",7,0
"337","INTQ","C","age",1,0
"338","INTQ","C","age",2,0
"339","INTQ","C","age",3,0
"340","INTQ","C","age",4,0
"341","INTQ","C","age",5,1
"342","INTQ","C","age",6,0
"343","INTQ","C","age",7,0
"344","INTQ","C","gender",1,0
"345","INTQ","C","gender",2,0
"346","INTQ","C","gender",3,0
"347","INTQ","C","gender",4,1
"348","INTQ","C","gender",5,0
"349","INTQ","C","gender",6,0
"350","INTQ","C","gender",7,0
"351","QFFK","P","age",1,0
"352","QFFK","P","age",2,0
"353","QFFK","P","age",3,0
"354","QFFK","P","age",4,1
"355","QFFK","P","age",5,0
"356","QFFK","P","age",6,0
"357","QFFK","P","age",7,0
"358","QFFK","P","gender",1,0
"359","QFFK","P","gender",2,0
"360","QFFK","P","gender",3,0
"361","QFFK","P","gender",4,0
"362","QFFK","P","gender",5,1
"363","QFFK","P","gender",6,0
"364","QFFK","P","gender",7,0
"365","YZTT","C","age",1,0
"366","YZTT","C","age",2,0
"367","YZTT","C","age",3,0
"368","YZTT","C","age",4,0
"369","YZTT","C","age",5,0
"370","YZTT","C","age",6,0
"371","YZTT","C","age",7,1
"372","YZTT","C","gender",1,0
"373","YZTT","C","gender",2,0
"374","YZTT","C","gender",3,0
"375","YZTT","C","gender",4,1
"376","YZTT","C","gender",5,0
"377","YZTT","C","gender",6,0
"378","YZTT","C","gender",7,0
"379","NAPV","P","age",1,0
"380","NAPV","P","age",2,1
"381","NAPV","P","age",3,0
"382","NAPV","P","age",4,0
"383","NAPV","P","age",5,0
"384","NAPV","P","age",6,0
"385","NAPV","P","age",7,0
"386","NAPV","P","gender",1,0
"387","NAPV","P","gender",2,0
"388","NAPV","P","gender",3,0
"389","NAPV","P","gender",4,0
"390","NAPV","P","gender",5,0
"391","NAPV","P","gender",6,0
"392","NAPV","P","gender",7,1
"393","TLNN","C","age",1,0
"394","TLNN","C","age",2,1
"395","TLNN","C","age",3,0
"396","TLNN","C","age",4,0
"397","TLNN","C","age",5,0
"398","TLNN","C","age",6,0
"399","TLNN","C","age",7,0
"400","TLNN","C","gender",1,0
"401","TLNN","C","gender",2,0
"402","TLNN","C","gender",3,0
"403","TLNN","C","gender",4,0
"404","TLNN","C","gender",5,0
"405","TLNN","C","gender",6,0
"406","TLNN","C","gender",7,1
"407","AJPV","P","age",1,0
"408","AJPV","P","age",2,1
"409","AJPV","P","age",3,0
"410","AJPV","P","age",4,0
"411","AJPV","P","age",5,0
"412","AJPV","P","age",6,0
"413","AJPV","P","age",7,0
"414","AJPV","P","gender",1,0
"415","AJPV","P","gender",2,0
"416","AJPV","P","gender",3,0
"417","AJPV","P","gender",4,1
"418","AJPV","P","gender",5,0
"419","AJPV","P","gender",6,0
"420","AJPV","P","gender",7,0
"421","JKOP","C","age",1,1
"422","JKOP","C","age",2,0
"423","JKOP","C","age",3,0
"424","JKOP","C","age",4,0
"425","JKOP","C","age",5,0
"426","JKOP","C","age",6,0
"427","JKOP","C","age",7,0
"428","JKOP","C","gender",1,1
"429","JKOP","C","gender",2,0
"430","JKOP","C","gender",3,0
"431","JKOP","C","gender",4,0
"432","JKOP","C","gender",5,0
"433","JKOP","C","gender",6,0
"434","JKOP","C","gender",7,0
"435","SKXZ","P","age",1,0
"436","SKXZ","P","age",2,0
"437","SKXZ","P","age",3,0
"438","SKXZ","P","age",4,0
"439","SKXZ","P","age",5,0
"440","SKXZ","P","age",6,0
"441","SKXZ","P","age",7,1
"442","SKXZ","P","gender",1,1
"443","SKXZ","P","gender",2,0
"444","SKXZ","P","gender",3,0
"445","SKXZ","P","gender",4,0
"446","SKXZ","P","gender",5,0
"447","SKXZ","P","gender",6,0
"448","SKXZ","P","gender",7,0
"449","GSXP","C","age",1,0
"450","GSXP","C","age",2,0
"451","GSXP","C","age",3,0
"452","GSXP","C","age",4,0
"453","GSXP","C","age",5,1
"454","GSXP","C","age",6,0
"455","GSXP","C","age",7,0
"456","GSXP","C","gender",1,0
"457","GSXP","C","gender",2,0
"458","GSXP","C","gender",3,0
"459","GSXP","C","gender",4,0
"460","GSXP","C","gender",5,0
"461","GSXP","C","gender",6,0
"462","GSXP","C","gender",7,1
"463","QYWP","P","age",1,0
"464","QYWP","P","age",2,0
"465","QYWP","P","age",3,0
"466","QYWP","P","age",4,0
"467","QYWP","P","age",5,1
"468","QYWP","P","age",6,0
"469","QYWP","P","age",7,0
"470","QYWP","P","gender",1,0
"471","QYWP","P","gender",2,0
"472","QYWP","P","gender",3,0
"473","QYWP","P","gender",4,0
"474","QYWP","P","gender",5,1
"475","QYWP","P","gender",6,0
"476","QYWP","P","gender",7,0
"477","VCTQ","C","age",1,0
"478","VCTQ","C","age",2,0
"479","VCTQ","C","age",3,0
"480","VCTQ","C","age",4,1
"481","VCTQ","C","age",5,0
"482","VCTQ","C","age",6,0
"483","VCTQ","C","age",7,0
"484","VCTQ","C","gender",1,0
"485","VCTQ","C","gender",2,0
"486","VCTQ","C","gender",3,0
"487","VCTQ","C","gender",4,0
"488","VCTQ","C","gender",5,0
"489","VCTQ","C","gender",6,1
"490","VCTQ","C","gender",7,0
"491","DCMU","P","age",1,0
"492","DCMU","P","age",2,0
"493","DCMU","P","age",3,0
"494","DCMU","P","age",4,0
"495","DCMU","P","age",5,1
"496","DCMU","P","age",6,0
"497","DCMU","P","age",7,0
"498","DCMU","P","gender",1,0
"499","DCMU","P","gender",2,0
"500","DCMU","P","gender",3,0
"501","DCMU","P","gender",4,0
"502","DCMU","P","gender",5,0
"503","DCMU","P","gender",6,1
"504","DCMU","P","gender",7,0
"505","TVEY","C","age",1,0
"506","TVEY","C","age",2,0
"507","TVEY","C","age",3,0
"508","TVEY","C","age",4,0
"509","TVEY","C","age",5,0
"510","TVEY","C","age",6,0
"511","TVEY","C","age",7,1
"512","TVEY","C","gender",1,0
"513","TVEY","C","gender",2,0
"514","TVEY","C","gender",3,1
"515","TVEY","C","gender",4,0
"516","TVEY","C","gender",5,0
"517","TVEY","C","gender",6,0
"518","TVEY","C","gender",7,0
"519","HDSI","P","age",1,0
"520","HDSI","P","age",2,0
"521","HDSI","P","age",3,0
"522","HDSI","P","age",4,0
"523","HDSI","P","age",5,0
"524","HDSI","P","age",6,1
"525","HDSI","P","age",7,0
"526","HDSI","P","gender",1,0
"527","HDSI","P","gender",2,1
"528","HDSI","P","gender",3,0
"529","HDSI","P","gender",4,0
"530","HDSI","P","gender",5,0
"531","HDSI","P","gender",6,0
"532","HDSI","P","gender",7,0
"533","UKRU","C","age",1,0
"534","UKRU","C","age",2,0
"535","UKRU","C","age",3,0
"536","UKRU","C","age",4,0
"537","UKRU","C","age",5,0
"538","UKRU","C","age",6,1
"539","UKRU","C","age",7,0
"540","UKRU","C","gender",1,0
"541","UKRU","C","gender",2,0
"542","UKRU","C","gender",3,0
"543","UKRU","C","gender",4,0
"544","UKRU","C","gender",5,0
"545","UKRU","C","gender",6,1
"546","UKRU","C","gender",7,0
"547","EADR","P","age",1,1
"548","EADR","P","age",2,0
"549","EADR","P","age",3,0
"550","EADR","P","age",4,0
"551","EADR","P","age",5,0
"552","EADR","P","age",6,0
"553","EADR","P","age",7,0
"554","EADR","P","gender",1,0
"555","EADR","P","gender",2,0
"556","EADR","P","gender",3,0
"557","EADR","P","gender",4,0
"558","EADR","P","gender",5,1
"559","EADR","P","gender",6,0
"560","EADR","P","gender",7,0
"561","YOPF","C","age",1,0
"562","YOPF","C","age",2,0
"563","YOPF","C","age",3,0
"564","YOPF","C","age",4,0
"565","YOPF","C","age",5,0
"566","YOPF","C","age",6,1
"567","YOPF","C","age",7,0
"568","YOPF","C","gender",1,0
"569","YOPF","C","gender",2,0
"570","YOPF","C","gender",3,1
"571","YOPF","C","gender",4,0
"572","YOPF","C","gender",5,0
"573","YOPF","C","gender",6,0
"574","YOPF","C","gender",7,0
"575","NELI","P","age",1,0
"576","NELI","P","age",2,0
"577","NELI","P","age",3,1
"578","NELI","P","age",4,0
"579","NELI","P","age",5,0
"580","NELI","P","age",6,0
"581","NELI","P","age",7,0
"582","NELI","P","gender",1,0
"583","NELI","P","gender",2,0
"584","NELI","P","gender",3,0
"585","NELI","P","gender",4,0
"586","NELI","P","gender",5,1
"587","NELI","P","gender",6,0
"588","NELI","P","gender",7,0
"589","DESK","C","age",1,0
"590","DESK","C","age",2,0
"591","DESK","C","age",3,0
"592","DESK","C","age",4,0
"593","DESK","C","age",5,0
"594","DESK","C","age",6,1
"595","DESK","C","age",7,0
"596","DESK","C","gender",1,0
"597","DESK","C","gender",2,0
"598","DESK","C","gender",3,0
"599","DESK","C","gender",4,0
"600","DESK","C","gender",5,0
"601","DESK","C","gender",6,1
"602","DESK","C","gender",7,0
"603","KMLD","P","age",1,0
"604","KMLD","P","age",2,0
"605","KMLD","P","age",3,0
"606","KMLD","P","age",4,0
"607","KMLD","P","age",5,1
"608","KMLD","P","age",6,0
"609","KMLD","P","age",7,0
"610","KMLD","P","gender",1,0
"611","KMLD","P","gender",2,0
"612","KMLD","P","gender",3,1
"613","KMLD","P","gender",4,0
"614","KMLD","P","gender",5,0
"615","KMLD","P","gender",6,0
"616","KMLD","P","gender",7,0
"617","VPUT","C","age",1,0
"618","VPUT","C","age",2,0
"619","VPUT","C","age",3,0
"620","VPUT","C","age",4,0
"621","VPUT","C","age",5,0
"622","VPUT","C","age",6,1
"623","VPUT","C","age",7,0
"624","VPUT","C","gender",1,0
"625","VPUT","C","gender",2,0
"626","VPUT","C","gender",3,1
"627","VPUT","C","gender",4,0
"628","VPUT","C","gender",5,0
"629","VPUT","C","gender",6,0
"630","VPUT","C","gender",7,0
"631","XWIG","P","age",1,0
"632","XWIG","P","age",2,0
"633","XWIG","P","age",3,0
"634","XWIG","P","age",4,1
"635","XWIG","P","age",5,0
"636","XWIG","P","age",6,0
"637","XWIG","P","age",7,0
"638","XWIG","P","gender",1,0
"639","XWIG","P","gender",2,0
"640","XWIG","P","gender",3,0
"641","XWIG","P","gender",4,0
"642","XWIG","P","gender",5,1
"643","XWIG","P","gender",6,0
"644","XWIG","P","gender",7,0
"645","TTXU","C","age",1,1
"646","TTXU","C","age",2,0
"647","TTXU","C","age",3,0
"648","TTXU","C","age",4,0
"649","TTXU","C","age",5,0
"650","TTXU","C","age",6,0
"651","TTXU","C","age",7,0
"652","TTXU","C","gender",1,1
"653","TTXU","C","gender",2,0
"654","TTXU","C","gender",3,0
"655","TTXU","C","gender",4,0
"656","TTXU","C","gender",5,0
"657","TTXU","C","gender",6,0
"658","TTXU","C","gender",7,0
"659","DHFU","P","age",1,0
"660","DHFU","P","age",2,0
"661","DHFU","P","age",3,0
"662","DHFU","P","age",4,0
"663","DHFU","P","age",5,1
"664","DHFU","P","age",6,0
"665","DHFU","P","age",7,0
"666","DHFU","P","gender",1,0
"667","DHFU","P","gender",2,0
"668","DHFU","P","gender",3,0
"669","DHFU","P","gender",4,1
"670","DHFU","P","gender",5,0
"671","DHFU","P","gender",6,0
"672","DHFU","P","gender",7,0
"673","DDBB","C","age",1,0
"674","DDBB","C","age",2,0
"675","DDBB","C","age",3,0
"676","DDBB","C","age",4,1
"677","DDBB","C","age",5,0
"678","DDBB","C","age",6,0
"679","DDBB","C","age",7,0
"680","DDBB","C","gender",1,0
"681","DDBB","C","gender",2,1
"682","DDBB","C","gender",3,0
"683","DDBB","C","gender",4,0
"684","DDBB","C","gender",5,0
"685","DDBB","C","gender",6,0
"686","DDBB","C","gender",7,0
"687","NCTT","P","age",1,0
"688","NCTT","P","age",2,0
"689","NCTT","P","age",3,1
"690","NCTT","P","age",4,0
"691","NCTT","P","age",5,0
"692","NCTT","P","age",6,0
"693","NCTT","P","age",7,0
"694","NCTT","P","gender",1,0
"695","NCTT","P","gender",2,1
"696","NCTT","P","gender",3,0
"697","NCTT","P","gender",4,0
"698","NCTT","P","gender",5,0
"699","NCTT","P","gender",6,0
"700","NCTT","P","gender",7,0
"701","XNWL","C","age",1,0
"702","XNWL","C","age",2,0
"703","XNWL","C","age",3,0
"704","XNWL","C","age",4,0
"705","XNWL","C","age",5,0
"706","XNWL","C","age",6,1
"707","XNWL","C","age",7,0
"708","XNWL","C","gender",1,1
"709","XNWL","C","gender",2,0
"710","XNWL","C","gender",3,0
"711","XNWL","C","gender",4,0
"712","XNWL","C","gender",5,0
"713","XNWL","C","gender",6,0
"714","XNWL","C","gender",7,0
"715","ELZM","P","age",1,0
"716","ELZM","P","age",2,1
"717","ELZM","P","age",3,0
"718","ELZM","P","age",4,0
"719","ELZM","P","age",5,0
"720","ELZM","P","age",6,0
"721","ELZM","P","age",7,0
"722","ELZM","P","gender",1,1
"723","ELZM","P","gender",2,0
"724","ELZM","P","gender",3,0
"725","ELZM","P","gender",4,0
"726","ELZM","P","gender",5,0
"727","ELZM","P","gender",6,0
"728","ELZM","P","gender",7,0
"729","GGOQ","C","age",1,0
"730","GGOQ","C","age",2,0
"731","GGOQ","C","age",3,0
"732","GGOQ","C","age",4,1
"733","GGOQ","C","age",5,0
"734","GGOQ","C","age",6,0
"735","GGOQ","C","age",7,0
"736","GGOQ","C","gender",1,0
"737","GGOQ","C","gender",2,0
"738","GGOQ","C","gender",3,1
"739","GGOQ","C","gender",4,0
"740","GGOQ","C","gender",5,0
"741","GGOQ","C","gender",6,0
"742","GGOQ","C","gender",7,0
"743","IBLV","P","age",1,0
"744","IBLV","P","age",2,0
"745","IBLV","P","age",3,0
"746","IBLV","P","age",4,0
"747","IBLV","P","age",5,0
"748","IBLV","P","age",6,0
"749","IBLV","P","age",7,1
"750","IBLV","P","gender",1,0
"751","IBLV","P","gender",2,0
"752","IBLV","P","gender",3,0
"753","IBLV","P","gender",4,1
"754","IBLV","P","gender",5,0
"755","IBLV","P","gender",6,0
"756","IBLV","P","gender",7,0
"757","OJOX","C","age",1,0
"758","OJOX","C","age",2,0
"759","OJOX","C","age",3,1
"760","OJOX","C","age",4,0
"761","OJOX","C","age",5,0
"762","OJOX","C","age",6,0
"763","OJOX","C","age",7,0
"764","OJOX","C","gender",1,0
"765","OJOX","C","gender",2,0
"766","OJOX","C","gender",3,0
"767","OJOX","C","gender",4,0
"768","OJOX","C","gender",5,0
"769","OJOX","C","gender",6,1
"770","OJOX","C","gender",7,0
"771","MEOY","P","age",1,0
"772","MEOY","P","age",2,0
"773","MEOY","P","age",3,0
"774","MEOY","P","age",4,1
"775","MEOY","P","age",5,0
"776","MEOY","P","age",6,0
"777","MEOY","P","age",7,0
"778","MEOY","P","gender",1,0
"779","MEOY","P","gender",2,0
"780","MEOY","P","gender",3,0
"781","MEOY","P","gender",4,1
"782","MEOY","P","gender",5,0
"783","MEOY","P","gender",6,0
"784","MEOY","P","gender",7,0
"785","IVHE","C","age",1,0
"786","IVHE","C","age",2,0
"787","IVHE","C","age",3,1
"788","IVHE","C","age",4,0
"789","IVHE","C","age",5,0
"790","IVHE","C","age",6,0
"791","IVHE","C","age",7,0
"792","IVHE","C","gender",1,0
"793","IVHE","C","gender",2,0
"794","IVHE","C","gender",3,0
"795","IVHE","C","gender",4,1
"796","IVHE","C","gender",5,0
"797","IVHE","C","gender",6,0
"798","IVHE","C","gender",7,0
"799","BGJE","P","age",1,0
"800","BGJE","P","age",2,0
"801","BGJE","P","age",3,0
"802","BGJE","P","age",4,1
"803","BGJE","P","age",5,0
"804","BGJE","P","age",6,0
"805","BGJE","P","age",7,0
"806","BGJE","P","gender",1,0
"807","BGJE","P","gender",2,0
"808","BGJE","P","gender",3,0
"809","BGJE","P","gender",4,0
"810","BGJE","P","gender",5,1
"811","BGJE","P","gender",6,0
"812","BGJE","P","gender",7,0
"813","HAZU","C","age",1,0
"814","HAZU","C","age",2,0
"815","HAZU","C","age",3,0
"816","HAZU","C","age",4,0
"817","HAZU","C","age",5,0
"818","HAZU","C","age",6,1
"819","HAZU","C","age",7,0
"820","HAZU","C","gender",1,0
"821","HAZU","C","gender",2,1
"822","HAZU","C","gender",3,0
"823","HAZU","C","gender",4,0
"824","HAZU","C","gender",5,0
"825","HAZU","C","gender",6,0
"826","HAZU","C","gender",7,0
"827","CWOK","P","age",1,0
"828","CWOK","P","age",2,0
"829","CWOK","P","age",3,0
"830","CWOK","P","age",4,1
"831","CWOK","P","age",5,0
"832","CWOK","P","age",6,0
"833","CWOK","P","age",7,0
"834","CWOK","P","gender",1,0
"835","CWOK","P","gender",2,0
"836","CWOK","P","gender",3,0
"837","CWOK","P","gender",4,0
"838","CWOK","P","gender",5,0
"839","CWOK","P","gender",6,1
"840","CWOK","P","gender",7,0
"841","BOBF","C","age",1,0
"842","BOBF","C","age",2,0
